vietnamese,nom,wordType
An,安 慇,§H
A-lê-lu-i-a,亞黎卢衣亞,§PÂN
A-men,亞綿,§PÂN
Ai,埃,§NGTÂ
An ủi,安慰,
Ăn,咹,§NTT
Ăn mặc,咹默,
Ăn năn,咹𡅧,
Ăn năn tội,咹𡅧罪,
Ăn uống,咹㕵,
Ân,慇,§H
Ân cần,慇懃,
Âu lo,謳𢗼,
Ấy vậy,𧘇丕,
An,安,
Ấy,𧘇,
Ba,𠀧,
Ba Câu Lạy,𠀧句𥛉,
Ba mươi ba năm,𠀧𨒒𠀧𢆥,
Ba Ngôi,𠀧嵬,
Bà,妑,
Bà Ma-ri-a,妑瑪移亞,
Ban,頒,
Ban đêm,班𣈘,
Ban ngày,班𣈜,
Ban ơn,頒恩,
Bạn,伴,
Bạn Thanh Sạch,伴清瀝,
Bảo,保,
Bàu chữa,保助,
Bảy,𬙞,
Bảy mối,𬙞䋦,
Bảy mối tội đầu,𬙞䋦罪頭,
Bảy phép Bí tích,𬙞法秘跡,
Bằng,平,
Bằng có,平古,
Bằng trên trời vậy,平𨕭 𡗶 丕,
Bây,悲,
Bây giờ,悲𣇞,
Bấy,閉,
Bấy nhiêu,閉饒,
Bèn,卞,
Bí,秘,
Biếng,丙,
Biết,別,
Biết thật,別實,
Bỏ,補,
Bội,倍,
Bốn,𦊚,
Bởi,罷,
Bởi phép,罷法,
Bởi trời,罷 𡗶,
Bớt,扒,
Buộc,𫃚,
Buồn,𢞂,
Bụt,孛,
Bụt thần,孛神,
Cả,奇,
Cả lòng,奇𢚸,
Cả sáng,奇創,
Cả và,奇吧,
Các,各,
Các phép Bí Tích,各法祕跡,
Các thánh thông công,各聖通公,
Cải,改,
Cải tội,改罪,
Cám dỗ,感𠴗,
Cám ơn,感恩,
Cảm tạ,感謝,
Cảm tạ ơn Chúa,感謝恩主,
Cao,高,
Cao rao,高哰,
Cáo,告,
Cáo mình,告命,
Căn,根,
Căn nguyên,根原,
Cần,勤,
Cần kíp,勤急,
Cẩn,謹,
Cẩn thận,謹慎,
Câu,句,
